round_index,slot,role,participant_id,arrival_offset_ms
6,137,proxy,35,96.358061
6,137,proxy,11,96.379995
6,137,proxy,26,96.415997
6,137,proxy,20,96.457958
6,137,proxy,12,96.472979
6,137,proxy,24,96.500874
6,137,proxy,17,96.561909
6,137,proxy,31,96.562862
6,137,proxy,5,96.570015
6,137,proxy,18,96.766949
6,137,proxy,13,96.801043
6,137,proxy,0,96.827984
6,137,proxy,36,96.849918
6,137,proxy,8,96.917868
6,137,proxy,14,96.974850
6,137,proxy,39,96.976995
6,137,proxy,30,97.444057
6,137,proxy,29,101.374865
6,137,proxy,1,102.949858
6,137,proxy,19,181.701899
6,137,proxy,27,182.266951
6,137,proxy,33,182.522058
6,137,proxy,16,182.893038
6,137,proxy,15,182.914972
6,137,proxy,7,183.517933
6,137,proxy,3,183.697939
6,137,proxy,34,183.764935
6,137,proxy,10,184.402943
6,137,proxy,37,185.001850
6,137,proxy,23,185.090065
6,137,proxy,25,186.861038
6,137,proxy,38,189.122915
6,137,proxy,22,194.396973
6,137,proxy,28,195.641041
7,138,component,3,0.293016
7,138,component,5,0.300884
7,138,component,2,0.313997
7,138,component,4,0.313997
7,138,component,1,0.319958
7,138,component,8,0.319958
7,138,component,6,0.329018
7,138,component,7,0.329971
7,138,component,9,0.335932
7,138,component,11,0.349045
7,138,component,13,0.350952
7,138,component,14,0.352859
7,138,component,16,0.358820
7,138,component,10,0.366926
7,138,component,15,0.378847
7,138,component,12,0.380039
7,138,component,18,0.386953
7,138,component,19,0.397921
7,138,component,17,0.401974
7,138,component,22,0.419855
7,138,component,23,0.427008
7,138,component,27,0.429869
7,138,component,28,0.429869
7,138,component,21,0.447035
7,138,component,29,0.459909
7,138,component,25,0.460863
7,138,component,24,0.466824
7,138,component,33,0.473976
7,138,component,30,0.479937
7,138,component,31,0.504017
7,138,component,36,0.521898
7,138,component,35,0.524044
7,138,component,38,0.524044
7,138,component,34,0.536919
7,138,component,40,0.540018
7,138,component,37,0.550032
7,138,component,20,0.550985
7,138,component,26,0.550985
7,138,component,32,0.550985
7,138,component,41,0.565052
7,138,component,39,0.572920
7,138,component,43,0.574827
7,138,component,44,0.574827
7,138,component,47,0.597954
7,138,component,48,0.603914
7,138,component,42,0.608921
7,138,component,46,0.617981
7,138,component,45,0.622034
7,138,component,52,0.622034
7,138,component,51,0.624895
7,138,component,53,0.627041
7,138,component,49,0.643015
7,138,component,54,0.643015
7,138,component,57,0.643969
7,138,component,50,0.645876
7,138,component,55,0.645876
7,138,component,58,0.655890
7,138,component,59,0.661850
7,138,component,56,0.663996
7,138,component,60,0.684023
7,138,component,62,0.697851
