# RTLA osnoise histogram
# Time unit is microseconds (us)
# Duration:   0 01:00:00
Index   CPU-001   CPU-002   CPU-003   CPU-004   CPU-005   CPU-006   CPU-007
961           1         0         0         0         0         0         0 
962           0         0         0         0         0         1         0 
963           0         1         0         0         0         0         0 
965           0         0         0         1         0         0         0 
966           0         0         0         0         0         1         0 
967           0         0         1         0         0         0         0 
968           0         0         0         0         0         1         0 
969           0         0         0         0         0         0         1 
970           0         0         0         0         0         1         0 
974           0         0         0         0         0         1         0 
975           0         1         0         1         0         0         0 
977           0         0         0         0         1         1         0 
980           0         0         1         0         0         2         1 
981           0         1         0         0         0         1         0 
983           0         0         0         1         0         0         0 
984           1         0         0         0         0         0         0 
985           1         0         0         0         0         0         1 
987           0         0         0         0         0         1         0 
988           0         0         1         1         0         1         0 
990           0         0         0         0         1         0         0 
999           0         0         0         0         0         1         0 
1002          0         0         0         1         0         0         0 
1008          0         0         0         0         1         1         0 
1009          1         0         0         0         0         0         1 
1011          0         0         0         0         1         0         0 
1013          0         1         0         0         0         0         0 
1016          0         0         0         1         0         0         0 
1018          0         0         1         0         0         0         1 
1019          0         0         1         0         0         0         0 
1020          0         0         0         0         0         1         0 
1021          0         0         0         0         0         2         0 
1022          1         0         0         0         0         0         0 
1023          0         1         0         0         0         0         0 
1024          0         0         0         0         1         0         0 
1025          0         1         0         0         1         0         1 
1026          1         0         0         0         0         0         0 
1027          0         0         1         1         0         0         0 
1028          0         0         0         0         0         1         0 
1035          0         0         0         0         1         1         0 
1036          0         0         0         0         0         1         0 
1037          0         0         0         0         1         0         0 
1039          1         1         0         0         0         0         0 
1040          0         1         0         0         1         0         0 
1041          1         0         1         0         0         0         1 
1042          0         0         0         0         0         1         1 
1044          1         1         1         2         1         2         0 
1045          0         0         1         0         0         0         1 
1046          0         0         0         2         0         1         0 
1047          0         0         0         0         1         0         0 
1048          1         0         0         0         0         0         0 
1049          1         1         0         0         1         0         0 
1050          0         0         0         1         0         2         0 
1051          0         0         1         0         0         1         0 
1052          0         0         0         0         0         0         1 
1053          0         0         0         0         0         1         1 
1054          0         0         0         0         1         0         0 
1055          0         0         0         1         0         0         1 
1056          1         1         0         1         0         0         0 
1057          1         1         1         0         0         0         0 
1058          0         0         1         0         1         1         0 
1059          0         1         0         1         0         1         0 
1061          0         0         0         0         1         0         1 
1062          0         0         1         0         0         0         0 
1063          0         0         0         0         0         1         0 
1068          0         0         0         1         0         0         0 
1069          1         0         0         0         0         0         0 
1070          0         1         0         0         0         0         0 
1071          0         0         1         0         0         0         0 
1073          0         0         0         0         0         2         0 
1076          0         0         0         0         1         0         1 
1079          0         0         0         0         0         1         0 
1084          0         0         0         0         1         0         0 
1085          0         0         0         0         0         1         0 
1087          0         1         0         1         0         0         0 
1088          0         0         1         1         0         0         0 
1089          0         0         0         0         1         1         2 
1090          0         0         1         0         0         0         0 
1091          1         1         0         0         0         0         0 
1092          0         0         0         0         0         1         0 
1094          0         0         0         0         1         0         0 
1095          1         0         0         1         0         0         0 
1101          0         0         0         0         0         1         0 
1104          0         0         0         0         0         1         0 
1105          0         0         0         0         0         1         0 
1108          0         0         0         0         0         0         1 
1109          0         0         0         0         0         1         0 
1113          0         0         0         0         0         1         0 
1114          0         0         0         1         1         1         0 
1116          0         0         1         0         0         0         0 
1117          0         1         0         0         0         0         0 
1118          0         0         0         0         0         1         0 
1125          1         0         0         0         0         0         0 
1128          0         0         0         0         0         1         0 
1132          0         0         0         0         0         1         0 
1135          0         0         0         0         0         1         0 
1157          0         0         0         0         0         1         0 
1160          0         0         0         0         0         1         0 
1166          0         0         0         0         0         1         0 
1171          0         0         0         1         0         0         0 
1173          0         0         1         0         0         0         0 
1176          0         0         0         0         0         0         1 
1177          0         1         0         0         1         0         0 
1179          1         0         0         0         0         1         0 
1182          0         0         0         0         0         1         0 
1183          0         0         0         0         0         1         0 
1185          0         0         0         0         0         1         0 
1229          1         0         1         1         0         0         0 
1230          0         1         0         0         0         0         1 
1231          0         0         0         0         1         0         0 
1232          0         0         0         0         1         1         0 
1233          0         0         1         1         0         0         0 
1234          1         0         0         0         0         0         0 
1235          0         0         0         0         0         1         0 
1237          0         1         0         0         0         0         0 
1238          0         0         0         0         0         0         1 
1260          0         0         0         0         1         1         1 
1263          0         1         1         0         0         0         0 
1266          1         0         0         0         0         0         0 
1267          0         0         0         1         0         0         0 
1268          0         0         0         0         0         1         0 
1271          0         0         0         0         0         1         0 
1337          0         0         0         0         0         1         0 
1357          0         0         0         0         0         1         0 
1401          0         0         0         0         0         1         0 
1425          0         0         0         0         0         1         0 
1437          0         0         0         1         0         0         0 
1440          0         0         0         0         0         1         0 
1451          0         0         0         0         0         1         0 
1466          0         0         0         0         0         1         0 
1599          0         0         0         0         0         1         0 
1603          0         0         0         0         0         1         0 
1624          0         0         0         0         0         1         0 
1627          0         0         0         0         0         1         0 
1695          0         0         0         0         0         1         0 
1742          0         0         0         0         0         1         0 
1743          0         0         0         0         0         1         0 
1747          0         0         0         0         0         1         0 
1778          0         0         0         0         0         1         0 
1817          0         0         0         0         0         1         0 
1819          0         0         0         0         0         1         0 
1855          0         0         0         0         0         1         0 
1884          0         0         0         0         0         1         0 
1895          0         0         0         0         0         1         0 
1901          0         0         0         0         0         1         0 
1908          0         0         0         0         0         1         0 
1917          0         0         0         0         0         1         0 
1919          0         0         0         0         0         1         0 
1933          0         0         0         0         0         1         0 
1934          0         0         0         1         0         0         0 
1943          0         0         0         0         0         1         0 
1952          0         0         0         0         0         1         0 
1964          0         0         0         0         0         1         0 
1966          0         0         0         0         0         1         0 
1974          0         0         0         0         0         1         0 
1975          0         0         0         0         0         1         0 
1991          0         0         0         1         0         0         0 
1993          0         0         0         0         0         1         0 
1998          0         0         0         0         0         1         0 
2000          0         0         0         0         0         1         0 
2020          0         0         0         0         0         1         0 
2066          0         0         0         0         1         0         0 
2100          0         0         0         0         0         1         0 
2118          0         0         0         0         0         1         0 
2130          0         0         0         0         0         1         0 
2204          0         0         0         0         0         1         0 
2261          0         0         0         0         0         1         0 
2295          0         0         0         0         0         1         0 
2297          0         0         0         0         0         1         0 
2302          0         0         0         0         0         1         0 
2304          0         0         0         0         0         1         0 
2308          0         0         0         0         0         1         0 
2319          0         0         0         0         0         1         0 
2324          0         0         0         0         0         1         0 
2328          0         0         0         0         0         1         0 
2343          0         0         0         0         0         1         0 
2348          0         0         0         0         0         1         0 
2403          0         0         0         0         0         1         0 
2465          0         0         0         0         0         1         0 
2494          0         0         0         0         1         0         0 
2613          0         0         0         0         0         1         0 
2623          0         0         0         0         0         1         0 
2651          0         0         0         0         0         1         0 
2658          0         0         0         0         0         1         0 
2669          0         0         0         0         0         1         0 
2777          0         0         0         0         0         1         0 
2781          0         0         0         0         0         1         0 
2836          0         0         0         0         0         1         0 
2864          0         0         0         0         0         1         0 
2986          0         0         0         0         1         0         0 
3033          0         0         0         0         0         1         0 
3129          0         0         0         0         0         1         0 
3146          0         0         0         0         0         1         0 
3392          0         0         0         0         0         1         0 
3453          0         0         0         0         0         1         0 
3481          0         0         0         0         0         1         0 
3936          0         0         0         0         0         1         0 
3976          0         0         0         0         0         1         0 
3983          0         0         0         0         0         1         0 
4157          0         0         0         0         0         1         0 
4158          0         0         0         0         0         1         0 
4878          0         0         0         0         0         1         0 
4983          0         0         0         0         0         1         0 
5439          0         0         0         0         0         1         0 
7232          0         0         0         0         0         1         0 
7765          0         0         0         0         0         1         0 
8271          0         0         0         0         0         1         0 
over:         0         0         0         0         0         0         0 
count:  4997525   5001919   4896097   5002987   5002773   5027944   5004234 
min:          1         1         1         1         1         1         1 
avg:       6.28      6.09      6.22      6.18      6.15      6.23      6.07 
max:       1266      1263      1263      1991      2986      8271      1260 
