hecking tx_Data_request for 793365 times 
[44.0] Checking tx_Data_request for 793640 times 
[44.0] Checking tx_Data_request for 793641 times 
[44.0] Checking tx_Data_request for 793642 times 
[44.0] Checking tx_Data_request for 793643 times 
[44.0] Checking tx_Data_request for 793644 times 
[44.0] Checking tx_Data_request for 793645 times 
[44.0] Checking tx_Data_request for 793646 times 
[44.0] Checking tx_Data_request for 793647 times 
[44.0] Checking tx_Data_request for 793648 times 
[44.0] Checking tx_Data_request for 793649 times 
[44.0] Checking tx_Data_request for 793650 times 
[44.0] Checking tx_Data_request for 793651 times 
[44.0] Checking tx_Data_request for 793652 times 
[44.0] Checking tx_Data_request for 793653 times 
[44.0] Checking tx_Data_request for 793654 times 
[44.0] Checking tx_Data_request for 793655 times 
[44.0] Checking tx_Data_request for 793656 times 
[44.0] Checking tx_Data_request for 793657 times 
[44.0] Checking tx_Data_request for 793658 times 
[44.0] Checking tx_Data_request for 793659 times 
[44.0] Checking tx_Data_request for 793660 times 
[44.0] Checking tx_Data_request for 793661 times 
[44.0] Checking tx_Data_request for 793662 times 
[44.0] Checking tx_Data_request for 793663 times 
[44.0] Checking tx_Data_request for 793664 times 
[44.0] Checking tx_Data_request for 793665 times 
[44.0] Checking tx_Data_request for 793666 times 
[44.0] Checking tx_Data_request for 793667 times 
[44.0] Checking tx_Data_request for 793668 times 
[44.0] Checking tx_Data_request for 793669 times 
[44.0] Checking tx_Data_request for 793670 times 
[44.0] Checking tx_Data_request for 793671 times 
[44.0] Checking tx_Data_request for 793672 times 
[44.0] Checking tx_Data_request for 793673 times 
[44.0] Checking tx_Data_request for 793674 times 
[44.0] Checking tx_Data_request for 793675 times 
[44.0] Checking tx_Data_request for 793676 times 
[44.0] Checking tx_Data_request for 793677 times 
[44.0] Checking tx_Data_request for 793678 times 
[44.0] Checking tx_Data_request for 793679 times 
[44.0] Checking tx_Data_request for 793680 times 
[44.0] Checking tx_Data_request for 793681 times 
[44.0] Checking tx_Data_request for 793682 times 
[44.0] Checking tx_Data_request for 793683 times 
[44.0] Checking tx_Data_request for 793684 times 
[44.0] Checking tx_Data_request for 793685 times 
[44.0] Checking tx_Data_request for 793686 times 
[44.0] Checking tx_Data_request for 793687 times 
[44.0] Checking tx_Data_request for 793688 times 
[44.0] Checking tx_Data_request for 793689 times 
[44.0] Checking tx_Data_request for 793690 times 
[44.0] Checking tx_Data_request for 793691 times 
[44.0] Checking tx_Data_request for 793692[1;31m[PHY]   put_queue: queue is full
[0m[1;31m[NR_PHY]   put_queue failed for sfn slot.
[0m times 
[44.0] Checking tx_Data_request for 793693 times 
[44.0] Checking tx_Data_request for 793694 times 
[44.0] Checking tx_Data_request for 793695 times 
[44.0] Checking tx_Data_request for 793696 times 
[44.0] Checking tx_Data_request for 793697 times 
[44.0] Checking tx_Data_request for 793698 times 
[44.0] Checking tx_Data_request for 793699 times 
[44.0] Checking tx_Data_request for 793700 times 
[44.0] Checking tx_Data_request for 793701 times 
[44.0] Checking tx_Data_request for 793702 times 
[44.0] Checking tx_Data_request for 793703 times 
[44.0] Checking tx_Data_request for 793704 times 
[44.0] Checking tx_Data_request for 793705 times 
[44.0] Checking tx_Data_request for 793706 times 
[44.0] Checking tx_Data_request for 793707 times 
[44.0] Checking tx_Data_request for 793708 times 
[44.0] Checking tx_Data_request for 793709 times 
[44.0] Checking tx_Data_request for 793710 times 
[44.0] Checking tx_Data_request for 793711 times 
[44.0] Checking tx_Data_request for 793712 times 
[44.0] Checking tx_Data_request for 793713 times 
[44.0] Checking tx_Data_request for 793714 times 
[44.0] Checking tx_Data_request for 793715 times 
[44.0] Checking tx_Data_request for 793716 times 
[44.0] Checking tx_Data_request for 793717 times 
[44.0] Checking tx_Data_request for 793718 times 
[44.0] Checking tx_Data_request for 793719 times 
[44.0] Checking tx_Data_request for 793720 times 
[44.0] Checking tx_Data_request for 793721 times 
[44.0] Checking tx_Data_request for 793722 times 
[44.0] Checking tx_Data_request for 793723 times 
[44.0] Checking tx_Data_request for 793724 times 
[44.0] Checking tx_Data_request for 793725 times 
[44.0] Checking tx_Data_request for 793726 times 
[44.0] Checking tx_Data_request for 793727 times 
[44.0] Checking tx_Data_request for 793728 times 
[44.0] Checking tx_Data_request for 793729 times 
[44.0] Checking tx_Data_request for 793730 times 
[44.0] Checking tx_Data_request for 793731 times 
[44.0] Checking tx_Data_request for 793732 times 
[44.0] Checking tx_Data_request for 793733 times 
[44.0] Checking tx_Data_request for 793734 times 
[44.0] Checking tx_Data_request for 793735 times 
[44.0] Checking tx_Data_request for 793736 times 
[44.0] Checking tx_Data_request for 793737 times 
[44.0] Checking tx_Data_request for 793738 times 
[44.0] Checking tx_Data_request for 793739 times 
[44.0] Checking tx_Data_request for 793740 times 
[44.0] Checking tx_Data_request for 793741 times 
[44.0] Checking tx_Data_request for 793742 times 
[44.0] Checking tx_Data_request for 793743 times 
[44.0] Checking tx_Data_request for 793744 times 
[44.0] Checking tx_Data_request for 793745 times 
[44.0] Checking tx_Data_request for 793746 times 
[44.0] Checking tx_Data_request for 793747 times 
[44.0] Checking tx_Data_request for 793748 times 
[44.0] Checking tx_Data_request for 793749 times 
[44.0] Checking tx_Data_request for 793750 times 
[44.0] Checking tx_Data_request for 793751 times 
[44.0] Checking tx_Data_request for 793752 times 
[44.0] Checking tx_Data_request for 793753 times 
[44.0] Checking tx_Data_request for 793754 times 
[44.0] Checking tx_Data_request for 793755 times 
[44.0] Checking tx_Data_request for 793756 times 
[44.0] Checking tx_Data_request for 793757 times 
[44.0] Checking tx_Data_request for 793758 times 
[44.0] Checking tx_Data_request for 793759 times 
[44.0] Checking tx_Data_request for 793760 times 
[44.0] Checking tx_Data_request for 793761 times 
[44.0] Checking tx_Data_request for 793762 times 
[44.0] Checking tx_Data_request for 793763 times 
[44.0] Checking tx_Data_request for 793764 times 
[44.0] Checking tx_Data_request for 793765 times 
[44.0] Checking tx_Data_request for 793766 times 
[44.0] Checking tx_Data_request for 793767 times 
[44.0] Checking tx_Data_request for 793768 times 
[44.0] Checking tx_Data_request for 793769 times 
[44.0] Checking tx_Data_request for 793770 times 
[44.0] Checking tx_Data_request for 793771 times 
[44.0] Checking tx_Data_request for 793772 times 
[44.0] Checking tx_Data_request for 793773 times 
[44.0] Checking tx_Data_request for 79[1;31m[PHY]   put_queue: queue is full
[0m[1;31m[NR_PHY]   put_queue failed for sfn slot.
[0m3774 times 
[44.0] Checking tx_Data_request for 793775 times 
[44.0] Checking tx_Data_request for 793776 times 
[44.0] Checking tx_Data_request for 793777 times 
[44.0] Checking tx_Data_request for 793778 times 
[44.0] Checking tx_Data_request for 793779 times 
[44.0] Checking tx_Data_request for 793780 times 
[44.0] Checking tx_Data_request for 793781 times 
[44.0] Checking tx_Data_request for 793782 times 
[44.0] Checking tx_Data_request for 793783 times 
[44.0] Checking tx_Data_request for 793784 times 
[44.0] Checking tx_Data_request for 793785 times 
[44.0] Checking tx_Data_request for 793786 times 
[44.0] Checking tx_Data_request for 793787 times 
[44.0] Checking tx_Data_request for 793788 times 
[44.0] Checking tx_Data_request for 793789 times 
[44.0] Checking tx_Data_request for 793790 times 
[44.0] Checking tx_Data_request for 793791 times 
[44.0] Checking tx_Data_request for 793792 times 
[44.0] Checking tx_Data_request for 793793 times 
[44.0] Checking tx_Data_request for 793794 times 
[44.0] Checking tx_Data_request for 793795 times 
[44.0] Checking tx_Data_request for 793796 times 
[44.0] Checking tx_Data_request for 793797 times 
[44.0] Checking tx_Data_request for 793798 times 
[44.0] Checking tx_Data_request for 793799 times 
[44.0] Checking tx_Data_request for 793800 times 
[44.0] Checking tx_Data_request for 793801 times 
[44.0] Checking tx_Data_request for 793802 times 
[44.0] Checking tx_Data_request for 793803 times 
[44.0] Checking tx_Data_request for 793804 times 
[44.0] Checking tx_Data_request for 793805 times 
[44.0] Checking tx_Data_request for 793806 times 
[44.0] Checking tx_Data_request for 793807 times 
[44.0] Checking tx_Data_request for 793808 times 
[44.0] Checking tx_Data_request for 793809 times 
[44.0] Checking tx_Data_request for 793810 times 
[44.0] Checking tx_Data_request for 793811 times 
[44.0] Checking tx_Data_request for 793812 times 
[44.0] Checking tx_Data_request for 793813 times 
[44.0] Checking tx_Data_request for 793814 times 
[44.0] Checking tx_Data_request for 793815 times 
[44.0] Checking tx_Data_request for 793816 times 
[44.0] Checking tx_Data_request for 793817 times 
[44.0] Checking tx_Data_request for 793818 times 
[44.0] Checking tx_Data_request for 793819 times 
[44.0] Checking tx_Data_request for 793820 times 
[44.0] Checking tx_Data_request for 793821 times 
[44.0] Checking tx_Data_request for 793822 times 
[44.0] Checking tx_Data_request for 793823 times 
[44.0] Checking tx_Data_request for 793824 times 
[44.0] Checking tx_Data_request for 793825 times 
[44.0] Checking tx_Data_request for 793826 times 
[44.0] Checking tx_Data_request for 793827 times 
[44.0] Checking tx_Data_request for 793828 times 
[44.0] Checking tx_Data_request for 793829 times 
[44.0] Checking tx_Data_request for 793830 times 
[44.0] Checking tx_Data_request for 793831 times 
[44.0] Checking tx_Data_request for 793832 times 
[44.0] Checking tx_Data_request for 793833 times 
[44.0] Checking tx_Data_request for 793834 times 
[44.0] Checking tx_Data_request for 793835 times 
[44.0] Checking tx_Data_request for 793836 times 
[44.0] Checking tx_Data_request for 793837 times 
[44.0] Checking tx_Data_request for 793838 times 
[44.0] Checking tx_Data_request for 793839 times 
[44.0] Checking tx_Data_request for 793840 times 
[44.0] Checking tx_Data_request for 793841 times 
[44.0] Checking tx_Data_request for 793842 times 
[44.0] Checking tx_Data_request for 793843 times 
[44.0] Checking tx_Data_request for 793844 times 
[44.0] Checking tx_Data_request for 793845 times 
[44.0] Checking tx_Data_request for 793846 times 
[44.0] Checking tx_Data_request for 793847 times 
[44.0] Checking tx_Data_request for 793848 times 
[44.0] Checking tx_Data_request for 793849 times 
[44.0] Checking tx_Data_request for 793850 times 
[44.0] Checking tx_Data_request for 793851 times 
[44.0] Checking tx_Data_request for 793852 times 
[44.0] Checking tx_Data_request for 793853 times 
[44.0] Checking tx_Data_request for 793854 times 
[44.0] Checking tx_Data_request for 793855 times 
[44.0] Checking tx_Data_request fo[1;31m[PHY]   put_queue: queue is full
[0m[1;31m[NR_PHY]   put_queue failed for sfn slot.
[0m[1;31m[PHY]   put_queue: queue is full
[0m[1;31m[NR_PHY]   put_queue failed for sfn slot.
[0mr 793856 times 
[44.0] Checking tx_Data_request for 793857 times 
[44.0] Checking tx_Data_request for 793858 times 
[44.0] Checking tx_Data_request for 793859 times 
[44.0] Checking tx_Data_request for 793860 times 
[44.0] Checking tx_Data_request for 793861 times 
[44.0] Checking tx_Data_request for 793862 times 
[44.0] Checking tx_Data_request for 793863 times 
[44.0] Checking tx_Data_request for 793864 times 
[44.0] Checking tx_Data_request for 793865 times 
[44.0] Checking tx_Data_request for 793866 times 
[44.0] Checking tx_Data_request for 793867 times 
[44.0] Checking tx_Data_request for 793868 times 
[44.0] Checking tx_Data_request for 793869 times 
[44.0] Checking tx_Data_request for 793870 times 
[44.0] Checking tx_Data_request for 793871 times 
[44.0] Checking tx_Data_request for 793872 times 
[44.0] Checking tx_Data_request for 793873 times 
[44.0] Checking tx_Data_request for 793874 times 
[44.0] Checking tx_Data_request for 793875 times 
[44.0] Checking tx_Data_request for 793876 times 
[44.0] Checking tx_Data_request for 793877 times 
[44.0] Checking tx_Data_request for 793878 times 
[44.0] Checking tx_Data_request for 793879 times 
[44.0] Checking tx_Data_request for 793880 times 
[44.0] Checking tx_Data_request for 793881 times 
[44.0] Checking tx_Data_request for 793882 times 
[44.0] Checking tx_Data_request for 793883 times 
[44.0] Checking tx_Data_request for 793884 times 
[44.0] Checking tx_Data_request for 793885 times 
[44.0] Checking tx_Data_request for 793886 times 
[44.0] Checking tx_Data_request for 793887 times 
[44.0] Checking tx_Data_request for 793888 times 
[44.0] Checking tx_Data_request for 793889 times 
[44.0] Checking tx_Data_request for 793890 times 
[44.0] Checking tx_Data_request for 793891 times 
[44.0] Checking tx_Data_request for 793892 times 
[44.0] Checking tx_Data_request for 793893 times 
[44.0] Checking tx_Data_request for 793894 times 
[44.0] Checking tx_Data_request for 793895 times 
[44.0] Checking tx_Data_request for 793896 times 
[44.0] Checking tx_Data_request for 793897 times 
[44.0] Checking tx_Data_request for 793898 times 
[44.0] Checking tx_Data_request for 793899 times 
[44.0] Checking tx_Data_request for 793900 times 
[44.0] Checking tx_Data_request for 793901 times 
[44.0] Checking tx_Data_request for 793902 times 
[44.0] Checking tx_Data_request for 793903 times 
[44.0] Checking tx_Data_request for 793904 times 
[44.0] Checking tx_Data_request for 793905 times 
[44.0] Checking tx_Data_request for 793906 times 
[44.0] Checking tx_Data_request for 793907 times 
[44.0] Checking tx_Data_request for 793908 times 
[44.0] Checking tx_Data_request for 793909 times 
[44.0] Checking tx_Data_request for 793910 times 
[44.0] Checking tx_Data_request for 793911 times 
[44.0] Checking tx_Data_request for 793912 times 
[44.0] Checking tx_Data_request for 793913 times 
[44.0] Checking tx_Data_request for 793914 times 
[44.0] Checking tx_Data_request for 793915 times 
[44.0] Checking tx_Data_request for 793916 times 
[44.0] Checking tx_Data_request for 793917 times 
[44.0] Checking tx_Data_request for 793918 times 
[44.0] Checking tx_Data_request for 793919 times 
[44.0] Checking tx_Data_request for 793920 times 
[44.0] Checking tx_Data_request for 793921 times 
[44.0] Checking tx_Data_request for 793922 times 
[44.0] Checking tx_Data_request for 793923 times 
[44.0] Checking tx_Data_request for 793924 times 
[44.0] Checking tx_Data_request for 793925 times 
[44.0] Checking tx_Data_request for 793926 times 
[44.0] Checking tx_Data_request for 793927 times 
[44.0] Checking tx_Data_request for 793928 times 
[44.0] Checking tx_Data_request for 793929 times 
[44.0] Checking tx_Data_request for 793930 times 
[44.0] Checking tx_Data_request for 793931 times 
[44.0] Checking tx_Data_request for 793932 times 
[44.0] Checking tx_Data_request for 793933 times 
[44.0] Checking tx_Data_request for 793934 times 
[44.0] Checking tx_Data_request for 793935 times 
[44.0] Checking tx_Data_request for 793936 times 
[44.0] Checking tx_Data_request for 793937 times 
[44.0] Checking tx_Data_reques[1;31m[PHY]   put_queue: queue is full
[0m[1;31m[NR_PHY]   put_queue failed for sfn slot.
[0m[1;31m[PHY]   put_queue: queue is full
[0m[1;31m[NR_PHY]   put_queue failed for sfn slot.
[0mt for 793938 times 
[44.0] Checking tx_Data_request for 793939 times 
[44.0] Checking tx_Data_request for 793940 times 
[44.0] Checking tx_Data_request for 793941 times 
