NAME     READY   STATUS             RESTARTS      AGE     IP                NODE      NOMINATED NODE   READINESS GATES
ue-50    2/2     Running            0             4m55s   10.244.27.9       ins24vm   <none>           <none>
ue-51    1/2     CrashLoopBackOff   3 (31s ago)   4m55s   10.244.43.10      ins9vm    <none>           <none>
ue-52    2/2     Running            1 (83s ago)   4m55s   10.244.9.5        ins7vm    <none>           <none>
ue-53    2/2     Running            0             4m55s   10.244.73.9       ins44vm   <none>           <none>
ue-54    1/2     CrashLoopBackOff   3 (26s ago)   4m55s   10.244.7.8        ins52vm   <none>           <none>
ue-55    2/2     Running            1 (83s ago)   4m54s   10.244.57.5       ins30vm   <none>           <none>
ue-56    1/2     CrashLoopBackOff   3 (33s ago)   4m54s   10.244.19.5       ins62vm   <none>           <none>
ue-57    1/2     CrashLoopBackOff   3 (35s ago)   4m54s   10.244.29.5       ins63vm   <none>           <none>
ue-58    1/2     CrashLoopBackOff   3 (28s ago)   4m54s   10.244.58.5       ins59vm   <none>           <none>
ue-59    2/2     Running            0             4m55s   10.244.74.11      ins54vm   <none>           <none>
ue-6     2/2     Running            1 (84s ago)   4m56s   10.244.1.7        ins70vm   <none>           <none>
ue-60    1/2     CrashLoopBackOff   3 (28s ago)   4m55s   10.244.25.8       ins57vm   <none>           <none>
ue-61    2/2     Running            1 (83s ago)   4m54s   10.244.48.5       ins3vm    <none>           <none>
ue-62    2/2     Running            1 (83s ago)   4m56s   10.244.6.7        ins58vm   <none>           <none>
ue-63    2/2     Running            1 (84s ago)   4m54s   10.244.20.5       ins55vm   <none>           <none>
ue-64    2/2     Running            1 (83s ago)   4m54s   10.244.10.5       ins47vm   <none>           <none>
ue-65    2/2     Running            0             4m54s   10.244.75.5       ins67vm   <none>           <none>
ue-66    2/2     Running            0             4m54s   10.244.44.5       ins66vm   <none>           <none>
ue-67    2/2     Running            1 (83s ago)   4m54s   10.244.37.5       ins37vm   <none>           <none>
ue-68    1/2     CrashLoopBackOff   3 (30s ago)   4m54s   10.244.72.9       ins19vm   <none>           <none>
ue-69    1/2     CrashLoopBackOff   3 (17s ago)   4m54s   10.244.100.7      ins23vm   <none>           <none>
ue-7     1/2     CrashLoopBackOff   3 (29s ago)   4m56s   10.244.42.9       ins49vm   <none>           <none>
ue-70    1/2     CrashLoopBackOff   3 (33s ago)   4m54s   10.244.1.8        ins70vm   <none>           <none>
ue-71    2/2     Running            0             4m54s   10.244.61.10      ins20vm   <none>           <none>
ue-72    1/2     CrashLoopBackOff   3 (28s ago)   4m54s   10.244.79.9       ins68vm   <none>           <none>
ue-73    2/2     Running            0             4m54s   10.244.39.12      ins64vm   <none>           <none>
ue-74    2/2     Running            1 (85s ago)   4m54s   10.244.47.10      ins33vm   <none>           <none>
ue-75    2/2     Running            1 (83s ago)   4m53s   10.244.4.11       ins34vm   <none>           <none>
ue-76    2/2     Running            1 (84s ago)   4m53s   10.244.96.11      ins22vm   <none>           <none>
ue-77    1/2     CrashLoopBackOff   3 (33s ago)   4m53s   10.244.88.9       ins65vm   <none>           <none>
ue-78    1/2     CrashLoopBackOff   3 (28s ago)   4m53s   10.244.71.8       ins42vm   <none>           <none>
ue-79    2/2     Running            1 (83s ago)   4m53s   10.244.59.11      ins18vm   <none>           <none>
ue-8     2/2     Running            1 (83s ago)   4m56s   10.244.113.9      ins8vm    <none>           <none>
ue-80    1/2     CrashLoopBackOff   3 (33s ago)   4m53s   10.244.68.11      ins25vm   <none>           <none>
ue-81    1/2     CrashLoopBackOff   3 (33s ago)   4m53s   10.244.35.8       ins21vm   <none>           <none>
ue-82    2/2     Running            1 (84s ago)   4m53s   10.244.63.8       ins17vm   <none>           <none>
ue-83    2/2     Running            0             4m53s   10.244.9.6        ins7vm    <none>           <none>
ue-84    1/2     CrashLoopBackOff   3 (30s ago)   4m53s   10.244.17.10      ins45vm   <none>           <none>
ue-85    1/2     CrashLoopBackOff   3 (30s ago)   4m53s   10.244.90.8       ins60vm   <none>           <none>
ue-86    1/2     CrashLoopBackOff   3 (28s ago)   4m53s   10.244.10.6       ins47vm   <none>           <none>
ue-87    1/2     CrashLoopBackOff   3 (33s ago)   4m53s   10.244.101.10     ins35vm   <none>           <none>
ue-88    2/2     Running            0             4m53s   10.244.99.9       ins5vm    <none>           <none>
ue-89    1/2     CrashLoopBackOff   3 (34s ago)   4m53s   10.244.25.9       ins57vm   <none>           <none>
ue-9     2/2     Running            1 (78s ago)   4m56s   10.244.51.10      ins38vm   <none>           <none>
ue-90    1/2     CrashLoopBackOff   3 (33s ago)   4m53s   10.244.37.6       ins37vm   <none>           <none>
ue-91    1/2     CrashLoopBackOff   3 (20s ago)   4m53s   10.244.19.6       ins62vm   <none>           <none>
ue-92    2/2     Running            0             4m53s   10.244.53.12      ins53vm   <none>           <none>
ue-93    2/2     Running            1 (84s ago)   4m53s   10.244.11.9       ins69vm   <none>           <none>
ue-94    2/2     Running            0             4m53s   10.244.13.7       ins61vm   <none>           <none>
ue-95    2/2     Running            1 (83s ago)   4m52s   10.244.51.11      ins38vm   <none>           <none>
ue-96    1/2     CrashLoopBackOff   3 (24s ago)   4m52s   10.244.73.10      ins44vm   <none>           <none>
ue-97    1/2     CrashLoopBackOff   3 (33s ago)   4m52s   10.244.85.9       ins27vm   <none>           <none>
ue-98    2/2     Running            1 (83s ago)   4m52s   10.244.78.6       ins56vm   <none>           <none>
ue-99    2/2     Running            1 (83s ago)   4m54s   10.244.55.5       ins41vm   <none>           <none>
