# proxy downlink barrier profile
# arm_clock_monotonic_ns=96136833467440
# arm_clock_realtime_ns=1785737022813528223
# dump_clock_monotonic_ns=96209914420233
# dump_clock_realtime_ns=1785737095894481106
# realtime_monotonic_drift_ns=-90
# rounds_recorded=7568 slot_indications_recorded=189176
# round_seq_range=48529..56096
# times are ns; seg_* are us; skip lines beginning with '#'
round_seq,sfn,slot,gnb_count,sfn_slot_mismatch,latest_gnb_id,seg1_kernel_to_wake_us,seg2a_lock_blocked_us,seg2b_drain_us,seg2c_fanout_us,seg3a_unpack_us,seg3b_lock_wait_us,seg4_lock_to_flag_us,seg5a_ue_phase_us,seg5b_gnb_phase_us,seg6_ack_us,total_wait_us,msgs_before_slotind,t0_kernel_real_ns,t0_kernel_mono_ns,t1_wake_ns,t2_dispatch_ns,t2b_prelock_ns,t3_locked_ns,t4_max_ns,lock_blocked_ns,fanout_held_ns,t5_round_start_ns,t6_ue_done_ns,t7_gnb_done_ns,t8_ack_sent_ns,really_finished_ue,really_finished_gnb
48593,381,13,25,0,21,10.990,4976.426,40.085,261.901,39.244,3084.120,142.978,0.000,8.766,22.833,8587.343,1,1785737023421615208,96137441554425,96137441565415,96137446843827,96137446883071,96137449967191,96137450110169,4976426,261901,96137438313210,96137441360151,96137450118935,96137450141768,1,1
48594,381,14,25,0,2,12.603,0.000,6.442,0.000,18.846,1764.306,342.562,0.000,3.807,15.279,2163.845,0,1785737023434791441,96137454730658,96137454743261,96137454749703,96137454768549,96137456532855,96137456875417,0,0,96137450614804,96137454574455,96137456879224,96137456894503,1,1
48595,381,15,25,0,13,14.256,0.000,6.603,0.000,19.236,1352.124,474.449,0.000,5.600,14.979,1887.247,0,1785737023441832787,96137461772004,96137461786260,96137461792863,96137461812099,96137463164223,96137463638672,0,0,96137457392747,96137461547753,96137463644272,96137463659251,1,1
48596,381,16,25,0,3,14.327,0.000,4.689,0.000,22.923,3918.273,121.167,0.000,1.453,14.948,4097.780,0,1785737023446171968,96137466111185,96137466125512,96137466130201,96137466153124,96137470071397,96137470192564,0,0,96137464017342,96137465936258,96137470194017,96137470208965,1,1
48597,381,17,25,0,0,-66.685,9340.153,48.010,465.112,43.872,1268.798,163.266,0.000,9.618,19.567,11291.711,1,1785737023451286764,96137471225981,96137471159296,96137481012571,96137481056443,96137482325241,96137482488507,9340153,465112,96137470448273,96137474306684,96137482498125,96137482517692,1,1
48598,381,18,25,0,16,14.808,6031.895,39.303,254.747,15.208,4758.578,210.324,0.000,2.074,23.664,11350.601,1,1785737023464780692,96137484719909,96137484734717,96137491060662,96137491075870,96137495834448,96137496044772,6031895,254747,96137483012599,96137484516738,96137496046846,96137496070510,1,1
48599,381,19,25,0,24,14.037,5592.511,43.311,253.705,17.873,2990.375,137.377,0.000,0.691,18.345,9068.225,1,1785737023480585651,96137500524868,96137500538905,96137506428432,96137506446305,96137509436680,96137509574057,5592511,253705,96137496383216,96137500349279,96137509574748,96137509593093,1,1
48600,382,0,25,0,4,50.975,15824.876,1212.893,577.463,45.806,4809.753,108.664,0.000,5.460,14.217,22650.107,2,1785737023490914759,96137510853976,96137510904951,96137528520183,96137528565989,96137533375742,96137533484406,15824876,577463,96137510035742,96137510867291,96137533489866,96137533504083,1,1
48601,382,1,25,0,2,-60.483,14062.744,451.866,753.793,21.551,1186.173,87.774,0.000,4.900,10.760,16519.078,3,1785737023515427126,96137535366343,96137535305860,96137550574263,96137550595814,96137551781987,96137551869761,14062744,753793,96137534016744,96137536923631,96137551874661,96137551885421,1,1
48602,382,2,25,0,8,11.091,0.000,4.558,0.000,20.699,1858.924,188.864,0.000,2.104,10.219,2096.459,0,1785737023535726508,96137555665725,96137555676816,96137555681374,96137555702073,96137557560997,96137557749861,0,0,96137552277906,96137555536974,96137557751965,96137557762184,1,1
