round_index,proxy_id,sfn,slot,gnb_count,gnb_ips,first_slot_ts_us,latest_slot_ts_us,ack_ts_us,slot_spread_us,wait_us,wait_ms,ack_packet,ack_slot_byte
39,0,961,15,25,10.2.2.12;10.2.2.17;10.2.2.2;10.2.2.22;10.2.2.27;10.2.2.32;10.2.2.7;10.2.4.13;10.2.4.18;10.2.4.23;10.2.4.28;10.2.4.3;10.2.4.8;10.2.6.14;10.2.6.19;10.2.6.24;10.2.6.29;10.2.6.4;10.2.6.9;10.2.8.10;10.2.8.15;10.2.8.20;10.2.8.25;10.2.8.30;10.2.8.5,1786168378355831,1786168378356752,1786168378362131,921,5379,5.379000,11225,0
40,0,961,16,25,10.2.2.12;10.2.2.17;10.2.2.2;10.2.2.22;10.2.2.27;10.2.2.32;10.2.2.7;10.2.4.13;10.2.4.18;10.2.4.23;10.2.4.28;10.2.4.3;10.2.4.8;10.2.6.14;10.2.6.19;10.2.6.24;10.2.6.29;10.2.6.4;10.2.6.9;10.2.8.10;10.2.8.15;10.2.8.20;10.2.8.25;10.2.8.30;10.2.8.5,1786168378363350,1786168378364282,1786168378369412,932,5130,5.130000,11429,0
41,0,961,17,25,10.2.2.12;10.2.2.17;10.2.2.2;10.2.2.22;10.2.2.27;10.2.2.32;10.2.2.7;10.2.4.13;10.2.4.18;10.2.4.23;10.2.4.28;10.2.4.3;10.2.4.8;10.2.6.14;10.2.6.19;10.2.6.24;10.2.6.29;10.2.6.4;10.2.6.9;10.2.8.10;10.2.8.15;10.2.8.20;10.2.8.25;10.2.8.30;10.2.8.5,1786168378376886,1786168378377665,1786168378389640,779,11975,11.975000,11733,0
42,0,961,18,25,10.2.2.12;10.2.2.17;10.2.2.2;10.2.2.22;10.2.2.27;10.2.2.32;10.2.2.7;10.2.4.13;10.2.4.18;10.2.4.23;10.2.4.28;10.2.4.3;10.2.4.8;10.2.6.14;10.2.6.19;10.2.6.24;10.2.6.29;10.2.6.4;10.2.6.9;10.2.8.10;10.2.8.15;10.2.8.20;10.2.8.25;10.2.8.30;10.2.8.5,1786168378390682,1786168378391598,1786168378404288,916,12690,12.690000,12037,0
43,0,961,19,25,10.2.2.12;10.2.2.17;10.2.2.2;10.2.2.22;10.2.2.27;10.2.2.32;10.2.2.7;10.2.4.13;10.2.4.18;10.2.4.23;10.2.4.28;10.2.4.3;10.2.4.8;10.2.6.14;10.2.6.19;10.2.6.24;10.2.6.29;10.2.6.4;10.2.6.9;10.2.8.10;10.2.8.15;10.2.8.20;10.2.8.25;10.2.8.30;10.2.8.5,1786168378404804,1786168378410598,1786168378416983,5794,6385,6.385000,12441,0
44,0,962,0,25,10.2.2.12;10.2.2.17;10.2.2.2;10.2.2.22;10.2.2.27;10.2.2.32;10.2.2.7;10.2.4.13;10.2.4.18;10.2.4.23;10.2.4.28;10.2.4.3;10.2.4.8;10.2.6.14;10.2.6.19;10.2.6.24;10.2.6.29;10.2.6.4;10.2.6.9;10.2.8.10;10.2.8.15;10.2.8.20;10.2.8.25;10.2.8.30;10.2.8.5,1786168378428359,1786168378429544,1786168378452258,1185,22714,22.714000,13045,0
45,0,962,1,25,10.2.2.12;10.2.2.17;10.2.2.2;10.2.2.22;10.2.2.27;10.2.2.32;10.2.2.7;10.2.4.13;10.2.4.18;10.2.4.23;10.2.4.28;10.2.4.3;10.2.4.8;10.2.6.14;10.2.6.19;10.2.6.24;10.2.6.29;10.2.6.4;10.2.6.9;10.2.8.10;10.2.8.15;10.2.8.20;10.2.8.25;10.2.8.30;10.2.8.5,1786168378453079,1786168378454180,1786168378465949,1101,11769,11.769000,13449,0
46,0,962,2,25,10.2.2.12;10.2.2.17;10.2.2.2;10.2.2.22;10.2.2.27;10.2.2.32;10.2.2.7;10.2.4.13;10.2.4.18;10.2.4.23;10.2.4.28;10.2.4.3;10.2.4.8;10.2.6.14;10.2.6.19;10.2.6.24;10.2.6.29;10.2.6.4;10.2.6.9;10.2.8.10;10.2.8.15;10.2.8.20;10.2.8.25;10.2.8.30;10.2.8.5,1786168378476323,1786168378477294,1786168378482872,971,5578,5.578000,13654,0
47,0,962,3,25,10.2.2.12;10.2.2.17;10.2.2.2;10.2.2.22;10.2.2.27;10.2.2.32;10.2.2.7;10.2.4.13;10.2.4.18;10.2.4.23;10.2.4.28;10.2.4.3;10.2.4.8;10.2.6.14;10.2.6.19;10.2.6.24;10.2.6.29;10.2.6.4;10.2.6.9;10.2.8.10;10.2.8.15;10.2.8.20;10.2.8.25;10.2.8.30;10.2.8.5,1786168378489212,1786168378490953,1786168378495572,1741,4619,4.619000,13859,0
48,0,962,4,25,10.2.2.12;10.2.2.17;10.2.2.2;10.2.2.22;10.2.2.27;10.2.2.32;10.2.2.7;10.2.4.13;10.2.4.18;10.2.4.23;10.2.4.28;10.2.4.3;10.2.4.8;10.2.6.14;10.2.6.19;10.2.6.24;10.2.6.29;10.2.6.4;10.2.6.9;10.2.8.10;10.2.8.15;10.2.8.20;10.2.8.25;10.2.8.30;10.2.8.5,1786168378496149,1786168378497993,1786168378502868,1844,4875,4.875000,14065,0
49,0,962,5,25,10.2.2.12;10.2.2.17;10.2.2.2;10.2.2.22;10.2.2.27;10.2.2.32;10.2.2.7;10.2.4.13;10.2.4.18;10.2.4.23;10.2.4.28;10.2.4.3;10.2.4.8;10.2.6.14;10.2.6.19;10.2.6.24;10.2.6.29;10.2.6.4;10.2.6.9;10.2.8.10;10.2.8.15;10.2.8.20;10.2.8.25;10.2.8.30;10.2.8.5,1786168378503507,1786168378505269,1786168378509815,1762,4546,4.546000,14271,0
50,0,962,6,25,10.2.2.12;10.2.2.17;10.2.2.2;10.2.2.22;10.2.2.27;10.2.2.32;10.2.2.7;10.2.4.13;10.2.4.18;10.2.4.23;10.2.4.28;10.2.4.3;10.2.4.8;10.2.6.14;10.2.6.19;10.2.6.24;10.2.6.29;10.2.6.4;10.2.6.9;10.2.8.10;10.2.8.15;10.2.8.20;10.2.8.25;10.2.8.30;10.2.8.5,1786168378510937,1786168378515986,1786168378517135,5049,1149,1.149000,14475,0
51,0,962,7,25,10.2.2.12;10.2.2.17;10.2.2.2;10.2.2.22;10.2.2.27;10.2.2.32;10.2.2.7;10.2.4.13;10.2.4.18;10.2.4.23;10.2.4.28;10.2.4.3;10.2.4.8;10.2.6.14;10.2.6.19;10.2.6.24;10.2.6.29;10.2.6.4;10.2.6.9;10.2.8.10;10.2.8.15;10.2.8.20;10.2.8.25;10.2.8.30;10.2.8.5,1786168378523516,1786168378524879,1786168378536629,1363,11750,11.750000,14779,0
52,0,962,8,25,10.2.2.12;10.2.2.17;10.2.2.2;10.2.2.22;10.2.2.27;10.2.2.32;10.2.2.7;10.2.4.13;10.2.4.18;10.2.4.23;10.2.4.28;10.2.4.3;10.2.4.8;10.2.6.14;10.2.6.19;10.2.6.24;10.2.6.29;10.2.6.4;10.2.6.9;10.2.8.10;10.2.8.15;10.2.8.20;10.2.8.25;10.2.8.30;10.2.8.5,1786168378537578,1786168378542017,1786168378544078,4439,2061,2.061000,15084,0
53,0,962,9,25,10.2.2.12;10.2.2.17;10.2.2.2;10.2.2.22;10.2.2.27;10.2.2.32;10.2.2.7;10.2.4.13;10.2.4.18;10.2.4.23;10.2.4.28;10.2.4.3;10.2.4.8;10.2.6.14;10.2.6.19;10.2.6.24;10.2.6.29;10.2.6.4;10.2.6.9;10.2.8.10;10.2.8.15;10.2.8.20;10.2.8.25;10.2.8.30;10.2.8.5,1786168378550357,1786168378552320,1786168378556459,1963,4139,4.139000,15389,0
54,0,962,10,25,10.2.2.12;10.2.2.17;10.2.2.2;10.2.2.22;10.2.2.27;10.2.2.32;10.2.2.7;10.2.4.13;10.2.4.18;10.2.4.23;10.2.4.28;10.2.4.3;10.2.4.8;10.2.6.14;10.2.6.19;10.2.6.24;10.2.6.29;10.2.6.4;10.2.6.9;10.2.8.10;10.2.8.15;10.2.8.20;10.2.8.25;10.2.8.30;10.2.8.5,1786168378557766,1786168378560854,1786168378563842,3088,2988,2.988000,15593,0
