Calling sched_setscheduler(79)
slot 4 index 0 rnti affa mcs 8
slot 4 index 0 rnti affa mcs 8
slot 15 index 0 rnti affa mcs 8
slot 4 index 0 rnti affa mcs 7
slot 4 index 0 rnti affa mcs 7
slot 16 index 0 rnti affa mcs 7
slot 4 index 0 rnti affa mcs 7
slot 4 index 0 rnti affa mcs 7
slot 16 index 0 rnti affa mcs 7
slot 6 index 0 rnti affa mcs 7
slot 14 index 0 rnti affa mcs 7
slot 4 index 0 rnti affa mcs 6
slot 4 index 0 rnti affa mcs 6
slot 6 index 0 rnti affa mcs 6
slot 5 index 0 rnti affa mcs 6
slot 6 index 0 rnti affa mcs 6
slot 14 index 0 rnti affa mcs 6
slot 15 index 0 rnti affa mcs 6
slot 16 index 0 rnti affa mcs 6
slot 4 index 0 rnti affa mcs 6
slot 5 index 0 rnti affa mcs 6
slot 6 index 0 rnti affa mcs 6
slot 14 index 0 rnti affa mcs 6
slot 15 index 0 rnti affa mcs 6
slot 16 index 0 rnti affa mcs 6
slot 4 index 0 rnti affa mcs 6
slot 14 index 0 rnti affa mcs 6
slot 15 index 0 rnti affa mcs 6
slot 16 index 0 rnti affa mcs 6
slot 4 index 0 rnti affa mcs 6
slot 5 index 0 rnti affa mcs 6
slot 6 index 0 rnti affa mcs 6
slot 14 index 0 rnti affa mcs 6
slot 15 index 0 rnti affa mcs 6
slot 16 index 0 rnti affa mcs 6
slot 4 index 0 rnti affa mcs 6
slot 5 index 0 rnti affa mcs 6
slot 6 index 0 rnti affa mcs 6
slot 14 index 0 rnti affa mcs 6
slot 15 index 0 rnti affa mcs 6
slot 16 index 0 rnti affa mcs 6
slot 4 index 0 rnti affa mcs 6
slot 5 index 0 rnti affa mcs 6
slot 6 index 0 rnti affa mcs 6
slot 14 index 0 rnti affa mcs 6
slot 15 index 0 rnti affa mcs 6
slot 16 index 0 rnti affa mcs 6
slot 4 index 0 rnti affa mcs 6
slot 5 index 0 rnti affa mcs 6
slot 6 index 0 rnti affa mcs 6
slot 14 index 0 rnti affa mcs 6
slot 15 index 0 rnti affa mcs 6
slot 16 index 0 rnti affa mcs 6
slot 4 index 0 rnti affa mcs 6
slot 5 index 0 rnti affa mcs 6
slot 6 index 0 rnti affa mcs 6
slot 14 index 0 rnti affa mcs 6
slot 15 index 0 rnti affa mcs 6
slot 16 index 0 rnti affa mcs 6
slot 4 index 0 rnti affa mcs 6
slot 5 index 0 rnti affa mcs 6
slot 6 index 0 rnti affa mcs 6
slot 14 index 0 rnti affa mcs 6
slot 15 index 0 rnti affa mcs 6
slot 16 index 0 rnti affa mcs 6
slot 4 index 0 rnti affa mcs 6
slot 5 index 0 rnti affa mcs 6
slot 6 index 0 rnti affa mcs 6
slot 14 index 0 rnti affa mcs 6
slot 15 index 0 rnti affa mcs 6
slot 16 index 0 rnti affa mcs 6
slot 4 index 0 rnti affa mcs 6
slot 5 index 0 rnti affa mcs 6
slot 6 index 0 rnti affa mcs 6
slot 14 index 0 rnti affa mcs 6
slot 15 index 0 rnti affa mcs 6
slot 16 index 0 rnti affa mcs 6
slot 4 index 0 rnti affa mcs 6
slot 5 index 0 rnti affa mcs 6
slot 6 index 0 rnti affa mcs 6
slot 14 index 0 rnti affa mcs 6
slot 15 index 0 rnti affa mcs 6
slot 16 index 0 rnti affa mcs 6
[UE-STAT] frame=700 dci_cnt=105 total_tbs=729584 ack_real=94 nack_real=0 fb_missing=6 decode_cnt=103
slot 4 index 0 rnti affa mcs 6
slot 5 index 0 rnti affa mcs 6
slot 6 index 0 rnti affa mcs 6
slot 14 index 0 rnti affa mcs 6
slot 15 index 0 rnti affa mcs 6
slot 16 index 0 rnti affa mcs 6
slot 4 index 0 rnti affa mcs 6
slot 5 index 0 rnti affa mcs 6
slot 6 index 0 rnti affa mcs 6
slot 14 index 0 rnti affa mcs 6
slot 15 index 0 rnti affa mcs 6
slot 16 index 0 rnti affa mcs 6
slot 4 index 0 rnti affa mcs 6
slot 5 index 0 rnti affa mcs 6
slot 6 index 0 rnti affa mcs 6
slot 14 index 0 rnti affa mcs 6
slot 15 index 0 rnti affa mcs 6
slot 16 index 0 rnti affa mcs 6
slot 4 index 0 rnti affa mcs 6
slot 5 index 0 rnti affa mcs 6
slot 6 index 0 rnti affa mcs 6
slot 14 index 0 rnti affa mcs 6
slot 15 index 0 rnti affa mcs 6
slot 16 index 0 rnti affa mcs 6
slot 4 index 0 rnti affa mcs 6
slot 5 index 0 rnti affa mcs 6
slot 6 index 0 rnti affa mcs 6
slot 14 index 0 rnti affa mcs 6
slot 15 index 0 rnti affa mcs 6
slot 16 index 0 rnti affa mcs 6
slot 4 index 0 rnti affa mcs 6
slot 5 index 0 rnti affa mcs 6
slot 6 index 0 rnti affa mcs 6
slot 14 index 0 rnti affa mcs 6
slot 15 index 0 rnti affa mcs 6
slot 16 index 0 rnti affa mcs 6
slot 4 index 0 rnti affa mcs 6
slot 5 index 0 rnti affa mcs 6
slot 6 index 0 rnti affa mcs 6
slot 14 index 0 rnti affa mcs 6
slot 15 index 0 rnti affa mcs 6
slot 16 index 0 rnti affa mcs 6
slot 4 index 0 rnti affa mcs 6
slot 5 index 0 rnti affa mcs 6
slot 6 index 0 rnti affa mcs 6
slot 14 index 0 rnti affa mcs 6
slot 15 index 0 rnti affa mcs 6
slot 16 index 0 rnti affa mcs 6
slot 4 index 0 rnti affa mcs 6
slot 5 index 0 rnti affa mcs 6
